Tin no.,sample ID,Irrigation ,Station ,Date,volume (mL),clean dry mass (g),dirty dry mass (1) (g),dirty dry mass (2) (g),sediment mass (mg),TSS (mg/L),Name,TSS,sediment mass (mg),TSS (mg/L),,TSS error due to scale is,
8,Stock Solution (50 mg/L),,,,30,1.2211,1.2228,,1.7,56.66666667,Melina,50,0.2,6.666666667,,±3.33333,mg/L
9,Stock Solution (50 mg/L),,,,30,1.219,1.2205,,1.5,50,Melina,50,3.33,0.1,,,
10,Stock Solution (50 mg/L),,,,30,1.2123,1.2141,,1.8,60,Melina,50,10,0.3,,,
11,Stock Solution (50 mg/L),,,,30,1.2363,1.2378,,1.5,50,Melina,50,,,,,
12,Stock Solution (50 mg/L),,,,30,1.2096,1.2112,,1.6,53.33333333,Melina,50,,,,,
13,Stock Solution (50 mg/L),,,,30,1.2219,1.2235,,1.6,53.33333333,Melina,50,,,,,
14,Stock Solution (50 mg/L),,,,30,1.231,1.2327,,1.7,56.66666667,Melina,50,,,,,
15,Stock Solution (50 mg/L),,,,30,1.2086,1.2104,,1.8,60,Melina,50,,,,,
16,Stock Solution (50 mg/L),,,,30,1.2238,1.2258,,2,66.66666667,Melina,50,,,,,
